date,side,ticker,shares,market_type,raw_open,execution_price,notional,fee,slippage_bps,realized_gain
2025-01-02,SELL,WEGE3,21,020,52.7,52.64587816859376,1105.563441540469,0.35378030129295013,10.269797230786596,-37.474299398252924
2025-01-02,BUY,EMBR3,20,020,56.46,56.51938324813633,1130.3876649627266,0.36172405278807257,10.517755603317282,0.0
2025-03-05,SELL,EMBR3,20,020,70.0,69.92725452886049,1398.5450905772097,0.44753442898470713,10.392210162787867,267.3481671327104
2025-03-05,BUY,SUZB3,24,020,56.31,56.37004016740701,1352.8809640177683,0.4329219084856859,10.662434275796409,0.0
2025-03-12,SELL,SUZB3,24,020,55.2,55.14111239300975,1323.386697432234,0.42348374317831494,10.668044744610318,-30.350672237198296
2025-04-01,BUY,TOTS3,40,020,33.71,33.75367286709241,1350.1469146836964,0.4320470126987829,12.955463391398933,0.0
2025-05-02,SELL,TOTS3,40,020,37.5,37.450141392738445,1498.0056557095377,0.47936180982705207,13.29562860308054,146.94733220331545
2025-05-02,BUY,EMBR3,23,020,64.74,64.80751501326635,1490.572845305126,0.47698331049764037,10.428639676607435,0.0
2025-06-02,SELL,EMBR3,23,020,66.75,66.68013395644519,1533.6430809982394,0.49076578591943665,10.466823004466983,42.10248659669605
2025-06-02,BUY,TOTS3,36,020,42.21,42.26108575073532,1521.3990870264715,0.48684770784847087,12.102760183679912,0.0
2025-07-01,BUY,TOTS3,1,020,42.21,42.25251916912176,42.25251916912176,0.013520806134118964,10.073245468317104,0.0
2025-08-01,SELL,TOTS3,37,020,43.63,43.575703330051006,1612.3010232118872,0.5159363274278039,12.444801730231031,47.633112174883536
2025-08-01,BUY,ASAI3,100,010,9.54,9.549543841143606,954.9543841143607,0.3055854029165954,10.004026355982662,0.0
2025-08-01,BUY,ASAI3,69,020,9.41,9.422712617200087,650.167170586806,0.20805349458777797,13.509688841751654,0.0
2025-09-01,SELL,ASAI3,100,010,10.73,10.71926669463517,1071.926669463517,0.3430165342283255,10.003080489124805,121.50365671705742
2025-09-01,SELL,ASAI3,69,020,10.67,10.655346888789973,735.2189353265081,0.23527005930448264,13.733000196839033,79.42846788076395
2025-09-01,BUY,TIMS3,77,020,22.8,22.83278073989546,1758.1241169719503,0.5625997174310241,14.377517498007883,0.0
2025-10-01,BUY,TIMS3,2,020,23.91,23.934230358935448,47.868460717870896,0.015317907429718686,10.133985334775556,0.0
2025-11-03,SELL,TIMS3,79,020,24.13,24.09620994049611,1903.6005852991927,0.6091521872957417,14.003340034764985,96.42093779721495
2025-11-03,BUY,RDOR3,44,020,43.31,43.36463331942445,1908.0438660546758,0.6105740371374963,12.614481511070105,0.0
2025-12-01,SELL,RDOR3,44,020,46.5,46.445140113334894,2043.5861649867354,0.6539475727957553,11.797825089270187,134.27777732212644
2025-12-01,BUY,BBDC4,100,010,19.65,19.669653544774274,1966.9653544774274,0.6294289134327767,10.001803956373553,0.0
2025-12-01,BUY,BBDC4,3,020,19.75,19.76980903783506,59.30942711350518,0.018979016676321656,10.029892574713703,0.0
2026-01-02,SELL,BBDC4,100,010,18.37,18.351627131610908,1835.1627131610908,0.5872520682115491,10.0015614529627,-133.3111306751225
2026-01-02,SELL,BBDC4,3,020,18.24,18.22170836875173,54.66512510625519,0.01749284003400166,10.028306605409172,-4.3889654868188686
2026-01-02,BUY,RADL3,79,020,23.51,23.539930251450922,1859.654489864623,0.5950894367566795,12.730859825998344,0.0
2026-02-02,BUY,RADL3,1,020,24.65,24.674732072027464,24.674732072027464,0.00789591426304879,10.033294940147686,0.0
2026-03-02,SELL,RADL3,80,020,24.98,24.94872762441644,1995.898209953315,0.6386874271850608,12.51896540574877,110.32731523845973
2026-03-02,BUY,COGN3,500,010,3.43,3.433432153443986,1716.716076721993,0.5493491445510378,10.006278262348424,0.0
2026-03-02,BUY,COGN3,73,020,3.47,3.4738308282886954,253.58965046507475,0.08114868814882394,11.039850976067072,0.0
2026-03-30,SELL,COGN3,500,010,3.03,3.026967428175435,1513.4837140877175,0.48431478850806964,10.008487869850734,-206.8402385888951
2026-03-30,SELL,COGN3,73,020,2.98,2.9765884488171923,217.29095676365503,0.06953310616436961,11.44815833156929,-33.87516347417258
2026-04-01,BUY,VALE3,21,020,83.25,83.33438915505751,1750.0221722562076,0.5600070951219864,10.136835442343235,0.0
2026-05-04,SELL,VALE3,21,020,81.1,81.01771100522761,1701.3719311097798,0.5444390179551296,10.146608479950073,-49.75468725950486
2026-05-04,BUY,CSMG3,31,020,53.99,54.04786604405239,1675.4838473656241,0.5361548311569997,10.717918883568307,0.0
2026-06-01,SELL,CSMG3,31,020,52.71,52.65299586441165,1632.2428717967612,0.5223177189749636,10.8146719006553,-44.29944811899509
2026-06-01,BUY,PETR4,39,020,42.32,42.362988954812785,1652.1565692376987,0.5286901021560636,10.158070607934924,0.0
2026-07-01,SELL,PETR4,39,020,37.6,37.56171368899553,1464.9068338708257,0.4687701868386643,10.182529522465185,-188.24719565586793
2026-07-01,BUY,PRIO3,28,020,52.0,52.0541594946798,1457.5164658510344,0.466405269072331,10.415287438422414,0.0
2026-08-03,SELL,PRIO3,28,020,58.64,58.57850822258364,1640.198230232342,0.5248634336743495,10.486319477550616,181.69049567856086
2026-08-03,BUY,CSMG3,26,020,64.17,64.2389912090225,1670.213771434585,0.5344684068590672,10.75131822074098,0.0
