month,sales,realized_gain,taxable_gain,exempt_gain,loss_carry_in,loss_carry_out,tax_due,gross_tax_before_irrf,irrf_withheld_month,irrf_credit_in,irrf_credit_used,irrf_credit_out
2024-06,905.2751282860726,78.79925050366387,0.0,78.79925050366387,328.54474507642,328.54474507642,0.0,0.0,0.0,0.0,0.0,0.0
2024-07,879.6391207209185,-9.384406315504634,0.0,0.0,328.54474507642,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2024-08,0.0,0.0,0.0,0.0,337.9291513919246,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2024-09,1170.7427921714952,264.1025543726945,0.0,264.1025543726945,337.9291513919246,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2024-10,0.0,0.0,0.0,0.0,337.9291513919246,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2024-11,0.0,0.0,0.0,0.0,337.9291513919246,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2024-12,0.0,0.0,0.0,0.0,337.9291513919246,337.9291513919246,0.0,0.0,0.0,0.0,0.0,0.0
2025-01,1105.563441540469,-37.474299398252924,0.0,0.0,337.9291513919246,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-02,0.0,0.0,0.0,0.0,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-03,2721.931788009444,236.9974948955121,0.0,236.9974948955121,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-04,0.0,0.0,0.0,0.0,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-05,1498.0056557095377,146.94733220331545,0.0,146.94733220331545,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,1533.6430809982394,42.10248659669605,0.0,42.10248659669605,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-07,0.0,0.0,0.0,0.0,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,1612.3010232118872,47.633112174883536,0.0,47.633112174883536,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,1807.1456047900251,200.93212459782137,0.0,200.93212459782137,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-10,0.0,0.0,0.0,0.0,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-11,1903.6005852991927,96.42093779721495,0.0,96.42093779721495,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2025-12,2043.5861649867354,134.27777732212644,0.0,134.27777732212644,375.40345079017754,375.40345079017754,0.0,0.0,0.0,0.0,0.0,0.0
2026-01,1889.827838267346,-137.7000961619414,0.0,0.0,375.40345079017754,513.1035469521189,0.0,0.0,0.0,0.0,0.0,0.0
2026-02,0.0,0.0,0.0,0.0,513.1035469521189,513.1035469521189,0.0,0.0,0.0,0.0,0.0,0.0
2026-03,3726.672880804688,-130.38808682460794,0.0,0.0,513.1035469521189,643.4916337767269,0.0,0.0,0.0,0.0,0.0,0.0
2026-04,0.0,0.0,0.0,0.0,643.4916337767269,643.4916337767269,0.0,0.0,0.0,0.0,0.0,0.0
2026-05,1701.3719311097798,-49.75468725950486,0.0,0.0,643.4916337767269,693.2463210362317,0.0,0.0,0.0,0.0,0.0,0.0
