date,equity,cash,selected,positions,tax_paid,fees_paid,distributions_net
2023-07-10,988.0460081952787,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-11,977.5060081952787,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-12,982.9460081952785,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-13,997.5660081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-14,986.0060081952787,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-17,995.1860081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-18,977.5060081952787,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-19,971.3860081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-20,984.6460081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-21,993.1460081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-24,990.7660081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-25,987.3660081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-26,996.8860081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-27,990.0860081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-28,1009.4660081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-07-31,1004.7060081952786,19.72600819527861,RADL3,1,0.0,0.9177277010543858,0.0
2023-08-01,984.198542169259,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-02,988.3985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-03,989.9985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-04,984.9985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-07,983.3985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-08,976.798542169259,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-09,971.5985421692588,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-10,976.3985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-11,986.5985421692588,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-14,977.1985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-15,972.1985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
2023-08-16,980.1985421692589,36.99854216925894,BBAS3,1,0.0,1.5401410099074109,0.0
