date,equity,cash,selected,positions,tax_paid,fees_paid,distributions_net
2024-11-21,828.4020344907962,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-22,851.1720344907961,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-25,833.9220344907961,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-26,837.6020344907963,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-27,840.8220344907962,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-28,867.9620344907962,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-11-29,889.5820344907962,31.222034490796204,JBSS3,1,0.0,8.40792315301374,0.0
2024-12-02,897.2276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-03,936.7776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-04,988.2276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-05,1005.3776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-06,1006.4276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-09,1019.3776777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-10,986.4776777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-11,1008.5276777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-12,988.9276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-13,987.8776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-16,1007.4776777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-17,1006.7776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-18,944.1276777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-19,934.6776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-20,937.4776777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-23,926.2776777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-26,906.6776777181242,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-27,883.2276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2024-12-30,902.8276777181243,15.227677718124255,BRFS3,1,0.0,8.959131601946337,0.0
2025-01-02,921.8896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-03,910.3396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-06,907.9396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-07,925.6396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-08,913.4896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-09,915.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-10,914.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-13,903.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-14,908.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-15,925.7896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-16,956.8396035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-17,953.0896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-20,965.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-21,991.7896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-22,972.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-23,980.8396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-24,969.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-27,942.2896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-28,945.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-29,942.7396035310505,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-30,955.4896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-01-31,950.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-03,946.1896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-04,916.7896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-05,1050.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-06,1022.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-07,989.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-10,969.4396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-11,956.6896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-12,947.3896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-13,962.0896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-14,960.1396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-17,961.9396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-18,962.0896035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-19,968.0896035310507,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
2025-02-20,973.3396035310506,54.889603531050625,EMBR3,1,0.0,9.514580225152482,0.0
