ticker,strategy,family,params,start,end,candles,trades,exposure,total_return,cagr,max_drawdown,sharpe,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return,train_cagr,train_total_return,train_trades,train_max_drawdown,train_ratio,fast,slow,signal_window,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,window,num_std,exit_z,atr_period,atr_mult,max_hold,streak_rsi_period,rank_period,ibs_lower,ibs_upper,range_mult,volume_window,volume_mult,streak_length
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=10;atr_mult=3;trend_window=200;volume_window=0;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,25,0.4336283185840708,0.46588006181087915,0.18499088961250076,-0.12794895009087737,0.949111110764784,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1285441481426628,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,0.5,0,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.5;atr_period=10;atr_mult=3;trend_window=200;volume_window=20;volume_mult=0;max_hold=20,2024-04-15,2026-07-17,565,25,0.4336283185840708,0.46588006181087915,0.18499088961250076,-0.12794895009087737,0.949111110764784,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1285441481426628,,,,,0.7,,,,,,,,,200,,,,,,10,3.0,20,,,,,0.5,20,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=10;atr_mult=2;trend_window=200;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,35,0.29557522123893804,0.42157500267223225,0.1689601604889046,-0.11735578967007676,1.0245345673969581,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1728492072813097,,,,,0.7,,,,,,,,,200,,,,,,10,2.0,10,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=2;trend_window=200;volume_window=20;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,35,0.29557522123893804,0.42157500267223225,0.1689601604889046,-0.11735578967007676,1.0245345673969581,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.1728492072813097,,,,,0.7,,,,,,,,,200,,,,,,14,2.0,10,,,,,0.25,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=1.5;trend_window=0;volume_window=0;volume_mult=0;max_hold=10,2024-04-15,2026-07-17,565,93,0.6938053097345133,0.41000602491844207,0.16472859315901878,-0.18012842689233932,0.7375551960706233,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.18441818503509988,,,,,0.7,,,,,,,,,0,,,,,,14,1.5,10,,,,,0.25,0,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=1.5;trend_window=0;volume_window=0;volume_mult=1;max_hold=10,2024-04-15,2026-07-17,565,93,0.6938053097345133,0.41000602491844207,0.16472859315901878,-0.18012842689233932,0.7375551960706233,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.18441818503509988,,,,,0.7,,,,,,,,,0,,,,,,14,1.5,10,,,,,0.25,0,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=1.5;trend_window=0;volume_window=20;volume_mult=0;max_hold=10,2024-04-15,2026-07-17,565,93,0.6902654867256637,0.3739845470964607,0.15142798393369894,-0.18011625759200645,0.6912019452252703,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.22043966285708128,,,,,0.7,,,,,,,,,0,,,,,,14,1.5,10,,,,,0.25,20,0.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=10;atr_mult=1.5;trend_window=50;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,22,0.25309734513274335,0.26726762577106067,0.1108445647524754,-0.07976602948289668,0.7767043261898774,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.3271565841824813,,,,,0.7,,,,,,,,,50,,,,,,10,1.5,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=1;atr_period=14;atr_mult=1.5;trend_window=50;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,22,0.25309734513274335,0.26726762577106067,0.1108445647524754,-0.07976602948289668,0.7767043261898774,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.3271565841824813,,,,,0.7,,,,,,,,,50,,,,,,14,1.5,20,,,,,1.0,20,1.0,
LOGG3,range_expansion_breakout,range_expansion_breakout,range_mult=0.25;atr_period=14;atr_mult=3;trend_window=50;volume_window=20;volume_mult=1;max_hold=20,2024-04-15,2026-07-17,565,30,0.4725663716814159,0.08383693047910046,0.036375432161687815,-0.2760696113697454,0.2721289963468684,0.594424209953542,0.2300315243270643,-0.26260718465613897,-0.5105872794744415,,,,,0.7,,,,,,,,,50,,,,,,14,3.0,20,,,,,0.25,20,1.0,
