interval,strategy,status,tests,tickers_tested,winning_rows,winning_tickers_count,winning_tickers,best_ticker,best_label,best_return,best_cagr,best_mdd,best_bh_return,best_excess,best_win_ticker,best_win_label,best_win_return,best_win_cagr,best_win_mdd,best_win_bh_return,best_win_excess
1d_full,rsi_reversion,SUPEROU,28,7,18,6,BBSE3;GGBR3;LOGG3;MLAS3;PETR4;TUPY3,GGBR3,legacy_rsi_21_45_70,135.7953134595569,0.2036476776792648,-0.8453425690508973,103.70928235908642,32.08603110047048,GGBR3,legacy_rsi_21_45_70,135.7953134595569,0.2036476776792648,-0.8453425690508973,103.70928235908642,32.08603110047048
1d_full,rsi_reversion_atr,SUPEROU,14,7,12,7,BBSE3;GGBR3;LOGG3;MLAS3;PETR4;TUPY3;VALE3,GGBR3,legacy_rsi_atr_21_45_75,218.7694728533523,0.2253459701869899,-0.8886262123933522,103.70928235908642,115.0601904942659,GGBR3,legacy_rsi_atr_21_45_75,218.7694728533523,0.2253459701869899,-0.8886262123933522,103.70928235908642,115.0601904942659
1d_full,rsi_reversion_hold,SUPEROU,14,7,5,3,LOGG3;MLAS3;TUPY3,PETR4,legacy_rsi_hold_14_50_85_40,11.98228205868967,0.1014313554518764,-0.8854923052851682,14.43078147110415,-2.448499412414481,LOGG3,legacy_rsi_hold_7_50_85_40,1.8983446594227569,0.1509300580150909,-0.5744657280847434,1.3939800300655645,0.5043646293571924
1d_full,sma_cross,SUPEROU,112,7,36,5,BBSE3;LOGG3;MLAS3;TUPY3;VALE3,GGBR3,sma_cross_10_52,41.35718162512351,0.151627210435822,-0.597194369333153,103.70928235908642,-62.35210073396291,VALE3,sma_cross_20_100,38.35217268123285,0.1484379749357576,-0.598824408730555,37.11854892430078,1.2336237569320616
1d_full,supertrend_follow,SUPEROU,140,7,44,3,MLAS3;PETR4;TUPY3,PETR4,supertrend_20_5,124.59335230021524,0.199778485681912,-0.3865018732019806,14.43078147110415,110.16257082911108,PETR4,supertrend_20_5,124.59335230021524,0.199778485681912,-0.3865018732019806,14.43078147110415,110.16257082911108
4h_short,atr_breakout,SUPEROU,390,7,103,4,GGBR3;MLAS3;TUPY3;VALE3,PETR4,atr_breakout_5_14x4,0.7314991926912535,0.2061093254868329,-0.2412089717516697,0.7351088303859585,-0.003609637694705,GGBR3,atr_breakout_5_14x4,0.5891949528872351,0.1713127305597344,-0.1892801444616106,0.1339645703508598,0.4552303825363752
4h_short,breakout,SUPEROU,168,7,49,4,GGBR3;MLAS3;TUPY3;VALE3,LOGG3,breakout_5_100,0.6229314451932662,0.1797420128142213,-0.2989652196249536,0.8903220985301981,-0.2673906533369319,GGBR3,legacy_breakout_5_55,0.5432463242220631,0.159640412095797,-0.2147891036130943,0.1339645703508598,0.4092817538712032
4h_short,chandelier_breakout,SUPEROU,354,7,60,4,GGBR3;MLAS3;TUPY3;VALE3,PETR4,chandelier_breakout,0.6693975148801918,0.191164986082555,-0.15675993423306,0.7351088303859585,-0.0657113155057667,VALE3,chandelier_breakout,0.4658967160046792,0.1394630320709793,-0.1125796217813628,0.4169675120576535,0.0489292039470257
4h_short,down_streak_reversion,SUPEROU,166,7,41,2,MLAS3;TUPY3,MLAS3,down_streak_reversion,0.4172520229224969,0.1264119290134109,-0.1666211006067683,-0.4497563388397084,0.8670083617622054,MLAS3,down_streak_reversion,0.4172520229224969,0.1264119290134109,-0.1666211006067683,-0.4497563388397084,0.8670083617622054
4h_short,ema_cross,SUPEROU,112,7,28,2,MLAS3;TUPY3,BBSE3,ema_cross_10_150,0.4344095667999161,0.1310484084485075,-0.1694035880137907,0.5874129266861712,-0.153003359886255,MLAS3,ema_cross_39_200,0.3195592916903647,0.0992817732265383,-0.2342189346065697,-0.4497563388397084,0.7693156305300731
