strategy,weights,short_window,vol_window,trend_window,full_cagr,full_return,full_mdd,full_sharpe,test_cagr,test_return,test_mdd,test_sharpe,trades
top1_short20_riskadj_rocfilter_w1_1_1_trend200_vol16_posscore,1_1_1,20,16,200,0.16832696166346284,61.06377808657402,-0.5947016261158531,0.65573315954472,0.2650176067220622,5.61737754702743,-0.3059879087585665,0.930125266299146,349
top1_short20_riskadj_rocfilter_w2_1_1_trend200_vol16_posscore,2_1_1,20,16,200,0.15324071143009177,42.96041158356637,-0.6208388115820729,0.6168927497175757,0.2650176067220622,5.61737754702743,-0.3059879087585665,0.930125266299146,343
top1_short30_riskadj_rocfilter_w2_1_1_trend0_vol16_posscore,2_1_1,30,16,0,0.07360103473267698,5.583011665805624,-0.8077012522037041,0.38338730618281125,0.2641959010888404,5.582904566087335,-0.38329908754336406,0.9187772062631453,353
top1_short30_riskadj_rocfilter_w1_1_1_trend200_vol16_posscore,1_1_1,30,16,200,0.11029129619882183,15.057592400666838,-0.6433545910674374,0.493177329337927,0.2632881581033262,5.545004960511536,-0.38331724911440523,0.9238865877885278,338
top1_short30_riskadj_rocfilter_w2_1_1_trend200_vol16_posscore,2_1_1,30,16,200,0.09764426717589947,10.848381310196698,-0.691773688149641,0.4578849327223154,0.2632881581033262,5.545004960511536,-0.38331724911440523,0.9238865877885278,338
top1_short30_riskadj_rocfilter_w1_1_1_trend0_vol18_posscore,1_1_1,30,18,0,0.09807857387008467,10.97341085026151,-0.6687001341549264,0.45391794530179586,0.2617368905596438,5.480679350325493,-0.3633604674512261,0.9148446195543394,354
top1_short22_riskadj_rocfilter_w1_1_1_trend200_vol12_posscore,1_1_1,22,12,200,0.15836543818886994,48.44913637419908,-0.6922248304299566,0.6263113104710767,0.26168690946339646,5.478616048345247,-0.2882025381634663,0.9095584215212191,359
top1_short22_riskadj_rocfilter_w2_1_1_trend200_vol12_posscore,2_1_1,22,12,200,0.13655716871431256,28.862671106946195,-0.7667811101997275,0.5680330669310454,0.26168690946339646,5.478616048345247,-0.2882025381634663,0.9095584215212191,357
top1_short20_riskadj_rocfilter_w1_1_1_trend0_vol16_posscore,1_1_1,20,16,0,0.14900562844970522,38.87158335123581,-0.6417810725206862,0.5957736442330779,0.2602909790298573,5.421221617776267,-0.30884078902110246,0.9058868770865299,375
top1_short22_riskadj_rocfilter_w1_1_2_trend200_vol10_posscore,1_1_2,22,10,200,0.17069826383110542,64.49444891634948,-0.6831552476978122,0.661830997948189,0.2596870627109038,5.396529568022296,-0.2739792113847477,0.9071051282728099,369
top1_short21_riskadj_rocfilter_w1_1_1_trend0_vol14_posscore,1_1_1,21,14,0,0.16300569086870453,53.983262343887,-0.457440102596261,0.6430853309426795,0.2585193933900847,5.3490232839320235,-0.28938930728251444,0.9245488642253022,375
top1_short26_riskadj_rocfilter_w1_1_1_trend200_vol18_posscore,1_1_1,26,18,200,0.1591017396727905,49.28999029010043,-0.6747779300522574,0.6267898918724487,0.25807333010381606,5.330957048714808,-0.36611493248786275,0.8957609037083903,336
top1_short26_riskadj_rocfilter_w2_1_1_trend200_vol18_posscore,2_1_1,26,18,200,0.1487959937945973,38.67900110187331,-0.6745177172333923,0.6008350942706197,0.25807333010381606,5.330957048714808,-0.36611493248786275,0.8957609037083903,339
top1_short21_riskadj_rocfilter_w1_1_1_trend0_vol21_posscore,1_1_1,21,21,0,0.13766342989784697,29.64362382784483,-0.6502609584295391,0.5650827281952119,0.258045153714898,5.3298173754993385,-0.28938930728251444,0.9137010916000283,383
