ticker,label,strategy,params,year,start,end,strategy_return,buy_hold_return,excess_return,trades,exposure,start_equity,end_equity,bh_start_equity,bh_end_equity
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2007,2007-01-02,2007-12-28,0.07203517971715923,0.36612025397867654,-0.2940850742615173,8,0.9306122448979591,130530.64681475982,139933.44541665807,410479.2067144298,560763.9581296825
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2008,2008-01-02,2008-12-30,0.08246721331772333,-0.41003670050090457,0.4925039138186279,4,0.7188755020080321,134500.8828785111,145592.79587827538,538993.1127164745,317986.1551854991
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2009,2009-01-02,2009-12-30,0.5672969251486886,0.7404816623758093,-0.1731847372271207,8,0.8870967741935484,155499.81886754846,243714.38797228673,339625.02494791977,591111.1280057811
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2010,2010-01-04,2010-12-30,-0.22440316801592264,-0.2549978439427546,0.03059467592683196,10,0.7732793522267206,244911.13971178868,189952.30407807307,594013.9581296825,442541.67953471176
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2011,2011-01-03,2011-12-29,-0.23994916819259626,-0.28488026715632153,0.04493109896372527,10,0.7630522088353414,194029.74431511835,147472.46856208358,452041.7067144298,323263.94453982345
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2012,2012-01-02,2012-12-28,0.12363569169952116,0.23775094001323693,-0.11411524831371578,6,0.9387755102040817,149880.07842536483,168410.6055934633,328541.7021844768,406652.8007123851
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2013,2013-01-02,2013-12-30,-0.1139242794081331,-0.07195573522198473,-0.04196854418614837,6,0.8064516129032258,177699.8952682222,157455.56274888926,429083.3658311748,398208.35677126877
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2014,2014-01-02,2014-12-30,-0.42057933207258025,-0.4629258100821997,0.04234647800961944,12,0.6895161290322581,156203.4722871583,90507.52024520747,395041.7021844768,212166.70218447677
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2015,2015-01-02,2015-12-30,-0.5557166510676677,-0.5781817842154169,0.022465133147749228,9,0.6544715447154471,92871.52475417964,41261.27203823893,217708.37942103378,91833.36016873352
GGBR3,atr_breakout_5_10x4,atr_breakout,lookback=5;atr_period=10;atr_mult=4,2016,2016-01-04,2016-12-29,1.9196186252253655,1.3723715907875778,0.5472470344377878,5,0.8313253012048193,41261.27203823893,120467.17834333295,87875.04986266128,208472.27183321945
