strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,roc_windows,roc_weights,positive_rule,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,2000-01-03,2026-07-17,6662,507,0.8009606724707296,1.322425697988592,36.96047367710394,0.1468807138262087,-0.6658682911496007,0.2953709365707719,0.6114170785452464,167.0869612001335,2018-07-02,20.135459667173492,0.17935563098251794,-0.6076310082559557,0.699946923692341,2018-07-03,0.6378453951868139,0.06330142485119405,-0.5684867031983534,0.35863069707194184,185,0.9269269269269269
top2_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend200_vol63_score_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","1,1,2",all_windows,2000-01-03,2026-07-17,6662,502,0.8009606724707296,1.322425697988592,30.66020352076788,0.13906351024491803,-0.6715305067034256,0.29255748380380875,0.5911048773897164,164.63343531787416,2018-07-02,16.78751134256268,0.1684094249442747,-0.5685318513684144,0.6749545318195663,2018-07-03,0.6271439551314706,0.06243465159749029,-0.5715073341935303,0.35539287079805904,197,0.9269269269269269
top2_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_score_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","2,1,1",all_windows,2000-01-03,2026-07-17,6662,503,0.8009606724707296,1.322425697988592,24.541260386750846,0.12988161095789064,-0.6756870383139699,0.28724264575282377,0.5684713044938826,166.89400454113797,2018-07-02,13.399681224569882,0.15513665770114127,-0.5658263362958511,0.6370311255310573,2018-07-03,0.6224608080731975,0.06205376465042867,-0.5253564981201628,0.3586070013100198,193,0.9269269269269269
top3_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend200_vol63_inv_vol_monthly_posscore_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,inv_vol,True,1.0,0.0,"252,126,63","1,1,2",score,2000-01-03,2026-07-17,6662,822,0.9120384268988292,2.2544280996697688,20.905126592748807,0.12336123379592712,-0.648550802848423,0.27272306296868287,0.5632218227628114,146.9386350367249,2018-07-02,11.326856879392462,0.14546953039457056,-0.648550802848423,0.6265119070026423,2018-07-03,0.6193560507106781,0.06180071936455267,-0.5677104224313647,0.3628429969111347,294,0.96996996996997
top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,equal,True,1.0,0.0,"252,126,63","1,1,1",score,2000-01-03,2026-07-17,6662,607,0.9118883218252777,1.6639147403182228,49.913430328297544,0.1596400518359462,-0.586802956326713,0.29958382671966066,0.6442926537689971,131.21200640609462,2018-07-02,27.647165649550832,0.1989082469752781,-0.586802956326713,0.7512117723632242,2018-07-03,0.6193336712776429,0.0617988938447529,-0.5684581724658224,0.35200552103557226,196,0.96996996996997
top3_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,equal,True,1.0,0.0,"252,126,63","1,1,1",score,2000-01-03,2026-07-17,6662,811,0.9118883218252777,2.2472230561392976,31.782663164869994,0.14056002050014538,-0.6372514145998708,0.2720596824510437,0.6195310622166953,127.99500896966572,2018-07-02,17.61467280518597,0.1712845803778087,-0.6372514145998708,0.7047324011979271,2018-07-03,0.6073777010341113,0.06082045664736069,-0.5169799771173582,0.36074774567464696,268,0.96996996996997
top2_roc_combo_roc12_6_3_w2_1_1_skip0_trend200_vol63_inv_vol_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,inv_vol,True,1.0,0.0,"252,126,63","2,1,1",all_windows,2000-01-03,2026-07-17,6662,512,0.8009606724707296,1.322425697988592,32.48684039568669,0.141473888555677,-0.702026847927001,0.2918173026513747,0.5990728230162841,172.66601486319263,2018-07-02,18.009274294834338,0.17261385252043837,-0.5901898230007894,0.685963630547607,2018-07-03,0.6046078493852087,0.06059287224248666,-0.5671902965750535,0.3502313009947088,194,0.9269269269269269
top2_roc_combo_roc12_6_3_w2_1_1_skip0_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,equal,True,1.0,0.0,"252,126,63","2,1,1",score,2000-01-03,2026-07-17,6662,594,0.8988291804262984,1.6317922545782046,19.986494676070095,0.12154901265245965,-0.6359829723310271,0.2964129887106168,0.5354373546031803,133.08043001430556,2018-07-02,10.902246237679023,0.14330050367426117,-0.6359829723310271,0.5990549605387628,2018-07-03,0.6045006642547386,0.06058405848275972,-0.568589934888651,0.3482621403994374,193,0.96996996996997
top2_roc_combo_roc12_6_3_w2_1_1_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,adjusted,252,0,2,200,63,monthly,roc_combo,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,2000-01-03,2026-07-17,6662,508,0.8009606724707296,1.322425697988592,30.665632960736065,0.13907087113375405,-0.7138560043685138,0.29496077146844796,0.5886965250305589,169.1225029308965,2018-07-02,17.113338756579893,0.1695567801208151,-0.6076459096377438,0.6732395562231794,2018-07-03,0.5948123661042677,0.05978525904195897,-0.5684867031983534,0.3468540490342373,184,0.9269269269269269
top3_roc_combo_risk_adjusted_roc12_6_3_w2_1_1_skip0_trend200_vol63_score_inv_vol_monthly_posscore_adjusted,adjusted,252,0,3,200,63,monthly,roc_combo_risk_adjusted,score_inv_vol,True,1.0,0.0,"252,126,63","2,1,1",score,2000-01-03,2026-07-17,6662,785,0.8988291804262984,2.1820774542179526,16.88388891255384,0.11480762649193266,-0.6431139239399596,0.27681820709071125,0.5311451365680023,133.09676035398076,2018-07-02,9.199484115732227,0.13379592343255675,-0.6385476220814202,0.5855433387672406,2018-07-03,0.5883545633309715,0.059250450422247525,-0.5073786251341015,0.3515539294895074,289,0.96996996996997
