strategy,signal_mode,lookback,skip,top_n,trend_window,vol_window,rebalance,score,weighting,absolute_momentum,max_weight,target_vol,roc_windows,roc_weights,positive_rule,short_window,short_weight,full_start,full_end,full_candles,full_trades,full_exposure,full_avg_positions,full_total_return,full_cagr,full_max_drawdown,full_volatility,full_sharpe,full_turnover,train_end,train_total_return,train_cagr,train_max_drawdown,train_sharpe,test_start,test_total_return,test_cagr,test_max_drawdown,test_sharpe,test_trades,test_exposure
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend200_vol21_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,2",score,21,1.0,2000-01-03,2026-07-17,6662,643,0.7815971179825878,1.3099669768838187,39.77255102800548,0.14997360834746276,-0.5075952314458692,0.2692442619601037,0.653825851937788,304.45781008602773,2018-07-02,9.45210290306454,0.13529682058001957,-0.5075952314458692,0.6023030576034977,2018-07-03,2.883257225939345,0.18385450209532084,-0.3329105013632525,0.77543876844572,233,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,643,0.7817472230561393,1.3068147703392374,47.5684687422611,0.1575812415200437,-0.4490481676831758,0.272286529485549,0.6737661648606537,302.41171938721834,2018-07-02,11.687183386275361,0.14725543868326696,-0.4490481676831758,0.6343603573782561,2018-07-03,2.8194645025666243,0.18141752201860273,-0.29722633703704515,0.7701987055543846,235,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol21_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,640,0.7817472230561393,1.3068147703392374,29.365884426274082,0.13727313841160993,-0.44907229029634654,0.2702019947737035,0.6114020095196252,306.32051056462933,2018-07-02,7.231314567566274,0.12072842892235669,-0.44907229029634654,0.5535376925978036,2018-07-03,2.67288973296973,0.17568022623823976,-0.35173023588308805,0.7489507590945276,233,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol63_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,63,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,627,0.7719903932752927,1.2815971179825878,30.386453227579675,0.13869079345950475,-0.4867920217396301,0.2713078803809573,0.6145619809710406,299.4683798393274,2018-07-02,7.5410842444132555,0.12296932744341915,-0.4867920217396301,0.5587153593006972,2018-07-03,2.663689821641699,0.1753134713823643,-0.29722633703704515,0.7495915250455218,235,0.8853853853853854
top2_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol21_equal_monthly_posscore_adjusted,adjusted,252,0,2,200,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","2,1,1",score,21,1.0,2000-01-03,2026-07-17,6662,624,0.7719903932752927,1.2815971179825878,21.064932117543247,0.12366900103521838,-0.4866356152350293,0.26953487432415085,0.5675935982325755,301.383498258155,2018-07-02,5.2318603037694,0.10399173133662432,-0.4866356152350293,0.4994597688962241,2018-07-03,2.527033153727105,0.1697684663002057,-0.35173023588308805,0.7290114782249478,232,0.8853853853853854
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend0_vol21_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,0,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,285,0.6742719903932753,0.6742719903932753,25.297325760628272,0.13112445175418386,-0.6045703721165175,0.29219071717907596,0.567335571055029,280.2222844389727,2018-07-02,6.980814356893129,0.11885716498629773,-0.6045703721165175,0.5266553107068512,2018-07-03,2.2938833067328903,0.1598583320527338,-0.34981878946495004,0.6654452963905457,107,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend0_vol21_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,0,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,285,0.6742719903932753,0.6742719903932753,25.297325760628272,0.13112445175418386,-0.6045703721165175,0.29219071717907596,0.567335571055029,280.2222844389727,2018-07-02,6.980814356893129,0.11885716498629773,-0.6045703721165175,0.5266553107068512,2018-07-03,2.2938833067328903,0.1598583320527338,-0.34981878946495004,0.6654452963905457,107,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_2_short21_trend0_vol21_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,0,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,2",all_windows,21,1.0,2000-01-03,2026-07-17,6662,285,0.6742719903932753,0.6742719903932753,25.297325760628272,0.13112445175418386,-0.6045703721165175,0.29219071717907596,0.567335571055029,280.2222844389727,2018-07-02,6.980814356893129,0.11885716498629773,-0.6045703721165175,0.5266553107068512,2018-07-03,2.2938833067328903,0.1598583320527338,-0.34981878946495004,0.6654452963905457,107,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol21_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,200,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","1,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,282,0.6742719903932753,0.6742719903932753,24.278781410287078,0.12944184805263714,-0.6045703721165175,0.29225858482781186,0.5621749069554419,276.2999190710888,2018-07-02,6.980814356893129,0.11885716498629773,-0.6045703721165175,0.5266553107068512,2018-07-03,2.164476419255102,0.1540896029120855,-0.34981878946495004,0.6475596356666349,104,0.8218218218218218
top1_short_risk_adjusted_roc_filter_roc12_6_3_w2_1_1_short21_trend200_vol21_equal_monthly_posall_windows_adjusted,adjusted,252,0,1,200,21,monthly,short_risk_adjusted_roc_filter,equal,True,1.0,0.0,"252,126,63","2,1,1",all_windows,21,1.0,2000-01-03,2026-07-17,6662,282,0.6742719903932753,0.6742719903932753,24.278781410287078,0.12944184805263714,-0.6045703721165175,0.29225858482781186,0.5621749069554419,276.2999190710888,2018-07-02,6.980814356893129,0.11885716498629773,-0.6045703721165175,0.5266553107068512,2018-07-03,2.164476419255102,0.1540896029120855,-0.34981878946495004,0.6475596356666349,104,0.8218218218218218
