rank,trading_strategy,strategy_params,management_strategy,start,end,candles,trades,exposure,avg_positions,initial_equity,final_equity,total_return,cagr,average_annual_return,max_drawdown,annual_volatility,sharpe,turnover
50,buy_and_hold,,top1_momentum_lb126_skip0_trend200_vol63_equal_weekly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,185,0.9582747304266291,0.9676511954992968,10000.0,48654.82412698411,3.8654824126984106,0.20262930096420972,0.33665485996540545,-0.5886328895151804,0.37660889557715177,0.6798227680873093,180.73037361677638
51,buy_and_hold,,top2_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_inv_vol_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,220,0.9714017815283638,1.8945147679324894,10000.0,48240.237097301215,3.8240237097301213,0.20142971802526577,0.24706957247970987,-0.5680092982645666,0.29693138276005243,0.7681143361390763,49.913623443789646
52,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend0_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,72,0.9226441631504922,0.9418659165494608,10000.0,48150.27238095236,3.8150272380952357,0.20116820842746375,0.3261887608525908,-0.6357434362080938,0.362176859715869,0.6887358530837051,68.93498046923261
53,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posall_windows_adjusted,2018-01-02,2026-07-31,2133,72,0.9226441631504922,0.9418659165494608,10000.0,48150.27238095236,3.8150272380952357,0.20116820842746375,0.3261887608525908,-0.6357434362080938,0.362176859715869,0.6887358530837051,68.93498046923261
54,buy_and_hold,,top1_roc_combo_roc12_6_3_w1_1_1_skip0_trend200_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,66,0.9714017815283638,0.9714017815283638,10000.0,48040.18746031745,3.804018746031745,0.20084762552472935,0.3191525656404453,-0.6357411404898173,0.39588326568372134,0.6616039164566926,64.85609983906326
55,buy_and_hold,,top2_momentum_lb252_skip0_trend200_vol21_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,192,0.9714017815283638,1.8354430379746836,10000.0,47849.77769841268,3.7849777698412685,0.20029159014733144,0.24925095206040068,-0.5588937675183365,0.3055779224613835,0.7519302177736074,46.31786495449833
56,buy_and_hold,,top2_momentum_lb252_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,192,0.9714017815283638,1.8354430379746836,10000.0,47849.77769841268,3.7849777698412685,0.20029159014733144,0.24925095206040068,-0.5588937675183365,0.3055779224613835,0.7519302177736074,46.31786495449833
57,buy_and_hold,,top1_risk_adjusted_lb252_skip0_trend200_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,56,0.9714017815283638,0.9812470698546648,10000.0,47717.419841269846,3.771741984126985,0.19990392546073976,0.302232022037696,-0.6357501866449213,0.36811306025624896,0.680113830839434,54.8859169655141
58,buy_and_hold,,top1_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_2_short21x1_trend200_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,92,0.9714017815283638,1.0004688232536334,10000.0,47699.917572082304,3.7699917572082304,0.19985259174264058,0.3252835190014108,-0.6420828006167179,0.37114716644035334,0.6777820312958648,86.91083677745134
59,buy_and_hold,,top1_roc_short_blend_risk_adjusted_roc12_6_3_w1_1_1_short21x1_trend200_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,85,0.9615564932020628,0.9817158931082982,10000.0,46973.14423874898,3.6973144238748983,0.19770615198281516,0.3277696073314672,-0.6621194972421328,0.3724303137507598,0.6718760121049875,80.91055636276859
60,buy_and_hold,,top1_roc_combo_risk_adjusted_roc12_6_3_w1_1_2_skip0_trend200_vol63_inv_vol_monthly_target0.25_adjusted,2018-01-02,2026-07-31,2133,119,0.9714017815283638,0.9714017815283638,10000.0,46939.58349206349,3.6939583492063486,0.19760632732587058,0.25982957263460854,-0.5328013690787622,0.2660911312965245,0.8112240681018525,53.796436427343494
61,buy_and_hold,,top1_momentum_lb126_skip21_trend200_vol21_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,66,0.9324894514767933,0.9423347398030942,10000.0,46690.730634920656,3.669073063492066,0.19686415438122684,0.29899716550870303,-0.7146796273252736,0.39573007580840724,0.6542563154094394,64.84729859607899
62,buy_and_hold,,top1_momentum_lb126_skip21_trend200_vol63_equal_monthly_abs_cap1_adjusted,2018-01-02,2026-07-31,2133,66,0.9324894514767933,0.9423347398030942,10000.0,46690.730634920656,3.669073063492066,0.19686415438122684,0.29899716550870303,-0.7146796273252736,0.39573007580840724,0.6542563154094394,64.84729859607899
63,buy_and_hold,,top1_short_risk_adjusted_roc_filter_roc12_6_3_w1_1_1_short21_trend200_vol63_equal_monthly_posscore_adjusted,2018-01-02,2026-07-31,2133,145,0.8912330051570558,0.9207688701359588,10000.0,46467.50606229733,3.646750606229733,0.1961954355628064,0.22899525382818414,-0.4995258701956359,0.33479424805468194,0.7029890455792148,142.58046016860877
