date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2021-04-07,20977.952888550917,19002.806650327337,0,1,,,0.0,0.0
2021-04-08,20977.952888550917,18836.223977938436,0,1,,,0.0,0.0
2021-04-09,20977.952888550917,18893.886907066706,0,1,,,0.0,0.0
2021-04-12,20977.952888550917,18836.223977938436,0,1,,,0.0,0.0
2021-04-13,20977.952888550917,18772.15493381426,0,1,,,0.0,0.0
2021-04-14,20977.952888550917,18554.32334145812,0,1,,,0.0,0.0
2021-04-15,20977.952888550917,18957.955951190877,0,1,,,0.0,0.0
2021-04-16,20977.952888550917,18964.364039728065,0,1,,,0.0,0.0
2021-04-19,20977.952888550917,19342.36824239464,0,1,,,0.0,0.0
2021-04-20,20977.952888550917,19592.23435681287,0,1,,,0.0,0.0
2021-04-22,20977.952888550917,19355.18244592773,0,1,,,0.0,0.0
2021-04-23,20977.952888550917,18733.71232321499,0,1,,,0.0,0.0
2021-04-26,20977.952888550917,19092.49818089385,0,1,,,0.0,0.0
2021-04-27,20977.952888550917,18579.9517485243,0,1,,,0.0,0.0
2021-04-28,20977.952888550917,19182.195632084207,0,1,,,0.0,0.0
2021-04-29,20977.952888550917,19246.26467620838,0,1,,,0.0,0.0
2021-04-30,20977.952888550917,18906.701110599795,0,1,,,0.0,0.0
2021-05-03,20977.952888550917,19534.575374767162,0,1,,,0.0,0.0
2021-05-04,20977.952888550917,18868.258500000524,0,1,,,0.0,0.0
2021-05-05,20977.952888550917,18932.3275441247,0,1,,,0.0,0.0
2021-05-06,20977.952888550917,18829.81786294253,0,1,,,0.0,0.0
2021-05-07,20977.952888550917,18951.549836194972,0,1,,,0.0,0.0
2021-05-10,20977.952888550917,19489.726649171986,0,1,,,0.0,0.0
2021-05-11,20977.952888550917,18887.4807920708,0,1,,,0.0,0.0
2021-05-12,20977.952888550917,18330.083660564793,0,1,,,0.0,0.0
2021-05-13,20977.952888550917,19111.720472964127,0,1,,,0.0,0.0
2021-05-14,20977.952888550917,18989.990473252965,0,1,,,0.0,0.0
2021-05-17,20977.952888550917,19291.115375344838,0,1,,,0.0,0.0
2021-05-18,20977.952888550917,19233.45244621657,0,1,,,0.0,0.0
2021-05-19,20977.952888550917,18637.60875702873,0,1,,,0.0,0.0
2021-05-20,20977.952888550917,18829.81786294253,0,1,,,0.0,0.0
2021-05-21,20977.952888550917,18458.21977527186,0,1,,,0.0,0.0
2021-05-24,20977.952888550917,18381.334554073313,0,1,,,0.0,0.0
2021-05-25,20977.952888550917,18253.20041290753,0,1,,,0.0,0.0
2021-05-26,20977.952888550917,18836.223977938436,0,1,,,0.0,0.0
2021-05-27,20977.952888550917,19169.383402092397,0,1,,,0.0,0.0
2021-05-28,20977.952888550917,19348.776330931825,0,1,,,0.0,0.0
2021-05-31,20977.952888550917,18996.39461470759,0,1,,,0.0,0.0
2021-06-01,20977.952888550917,20322.618302162402,0,1,,,0.0,0.0
