ticker,label,strategy,params,full_return,full_cagr,full_mdd,full_trades,years,positive_years,positive_gt5_years,negative_years,beat_bh_years,avg_year_return,median_year_return,std_year_return,worst_year,worst_year_return,best_year,best_year_return,avg_bh_year_return,median_bh_year_return,avg_excess_year_return,median_excess_year_return,avg_year_mdd,worst_year_mdd,year,strategy_return,buy_hold_return,excess_return,year_mdd,trades,exposure
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2013,0.08116697004230078,-0.07195573522198473,0.1531227052642855,-0.21758890709919732,2,0.6290322580645161
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2014,-0.45164882459441147,-0.4629258100821997,0.011276985487788216,-0.4648794460008475,11,0.5403225806451613
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2015,-0.3881068172746064,-0.5781817842154169,0.1900749669408105,-0.44071264287391254,4,0.7154471544715447
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2016,1.8551640073482494,1.3723715907875778,0.4827924165606716,-0.3327663165358723,1,0.9196787148594378
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2017,0.337284538453293,0.35202080547764303,-0.014736267024350047,-0.26819255272711284,2,0.9173228346456693
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2018,0.11691955867862025,0.1249999496941423,-0.008080391015522048,-0.202234200942077,3,0.8739837398373984
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2019,0.309697956408409,0.3776167135306676,-0.06791875712225859,-0.24561840886695296,5,0.8185483870967742
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2020,0.32042490307049176,0.1503120013433703,0.17011290172712146,-0.3511423754953944,2,0.7782258064516129
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2021,0.13174001407396796,0.05990565741564158,0.07183435665832638,-0.24473583302716395,2,0.7044534412955465
GGBR3,breakout_10_55,breakout,lookback=10;exit_lookback=55,189.59684295376752,0.2187869694454738,-0.720734571652724,91,26,17,16,9,10,0.30527139779555923,0.1502052600518683,0.6391809989552809,2014,-0.45164882459441147,2000,2.3990034011841455,0.2966011588402881,0.1376559755187563,0.008670238955271158,-0.004045806522481432,-0.27907784033552974,-0.4648794460008475,2022,-0.04601859331869185,0.0951742187792266,-0.14119281209791845,-0.29996000628211583,4,0.872
