date,equity,cash,invested_weight,positions,selected,trade_count,turnover,dividend_cash
2007-11-08,103094.18943057416,26.185585359315155,0.9997460032858889,1,PETR4,0,0.0,0.0
2007-11-09,100851.38135562299,26.185585359315155,0.9997403547179291,1,PETR4,0,0.0,0.0
2007-11-12,96214.5809711015,26.185585359315155,0.999727841818828,1,PETR4,0,0.0,0.0
2007-11-13,97928.18174014447,26.185585359315155,0.9997326041912143,1,PETR4,0,0.0,0.0
2007-11-14,99729.98212466596,26.185585359315155,0.9997374351744435,1,PETR4,0,0.0,0.0
2007-11-16,99314.18943057416,26.185585359315155,0.9997363359102113,1,PETR4,0,0.0,0.0
2007-11-19,97424.18943057416,26.185585359315155,0.9997312209060977,1,PETR4,0,0.0,0.0
2007-11-21,94841.18558535932,26.185585359315155,0.9997239006956978,1,PETR4,0,0.0,0.0
2007-11-22,95345.18750796674,26.185585359315155,0.9997253601776479,1,PETR4,0,0.0,0.0
2007-11-23,96290.18750796674,26.185585359315155,0.9997280555159668,1,PETR4,0,0.0,0.0
2007-11-26,94374.98212466596,26.185585359315155,0.9997225367913212,1,PETR4,0,0.0,0.0
2007-11-27,93266.18558535932,26.185585359315155,0.9997192381655262,1,PETR4,0,0.0,0.0
2007-11-28,93127.58481631635,26.185585359315155,0.9997188203107493,1,PETR4,0,0.0,0.0
2007-11-29,92510.18750796674,26.185585359315155,0.9997169437651712,1,PETR4,0,0.0,0.0
2007-11-30,91628.18174014447,26.185585359315155,0.9997142190878175,1,PETR4,0,0.0,0.0
2007-12-03,92258.18174014447,26.185585359315155,0.9997161705892593,1,PETR4,0,0.0,0.0
2007-12-04,92938.58289370892,26.185585359315155,0.9997182484976206,1,PETR4,0,0.0,0.0
2007-12-05,98936.18558535932,26.185585359315155,0.9997353285331915,1,PETR4,0,0.0,0.0
2007-12-06,101645.18750796674,26.185585359315155,0.9997423824383495,1,PETR4,0,0.0,0.0
2007-12-07,101216.78250918744,26.185585359315155,0.9997412920593782,1,PETR4,0,0.0,0.0
2007-12-10,100448.18174014447,26.185585359315155,0.9997393125001799,1,PETR4,0,0.0,0.0
2007-12-11,100044.98212466596,26.185585359315155,0.9997382618817735,1,PETR4,0,0.0,0.0
2007-12-12,107126.18558535932,26.185585359315155,0.999755563168648,1,PETR4,0,0.0,0.0
2007-12-13,104228.18174014447,26.185585359315155,0.9997487667450191,1,PETR4,0,0.0,0.0
2007-12-14,102149.18943057416,26.185585359315155,0.9997436535179056,1,PETR4,0,0.0,0.0
2007-12-17,96844.5809711015,26.185585359315155,0.9997296122808654,1,PETR4,0,0.0,0.0
2007-12-18,99314.18943057416,26.185585359315155,0.9997363359102113,1,PETR4,0,0.0,0.0
2007-12-19,101670.38327823041,26.185585359315155,0.999742446280667,1,PETR4,0,0.0,0.0
2007-12-20,105916.58673892377,26.185585359315155,0.9997527716275085,1,PETR4,0,0.0,0.0
2007-12-21,107163.98404727338,26.185585359315155,0.9997556493854525,1,PETR4,0,0.0,0.0
2007-12-26,110024.18943057416,26.185585359315155,0.9997620015607946,1,PETR4,0,0.0,0.0
2007-12-27,108814.5809711015,26.185585359315155,0.9997593559142017,1,PETR4,0,0.0,0.0
2007-12-28,111410.18750796674,26.185585359315155,0.9997649623796079,1,PETR4,0,0.0,0.0
2008-01-02,109646.18558535932,26.185585359315155,0.99976118106417,1,PETR4,0,0.0,0.0
2008-01-03,107882.1836627519,26.185585359315155,0.999757276090729,1,PETR4,0,0.0,0.0
2008-01-04,102590.18750796674,26.185585359315155,0.9997447554586322,1,PETR4,0,0.0,0.0
2008-01-07,99578.7882770097,26.185585359315155,0.999737036513374,1,PETR4,0,0.0,0.0
2008-01-08,105047.1836627519,26.185585359315155,0.9997507254888109,1,PETR4,0,0.0,0.0
2008-01-09,107025.38327823041,26.185585359315155,0.9997553329447908,1,PETR4,0,0.0,0.0
2008-01-10,105992.1836627519,26.185585359315155,0.9997529479584775,1,PETR4,0,0.0,0.0
2008-01-11,102791.78250918744,26.185585359315155,0.9997452560436242,1,PETR4,0,0.0,0.0
2008-01-14,102199.5809711015,26.185585359315155,0.9997437799146484,1,PETR4,0,0.0,0.0
2008-01-15,97701.38135562299,26.185585359315155,0.9997319834684425,1,PETR4,0,0.0,0.0
2008-01-16,94022.1836627519,26.185585359315155,0.9997214956690089,1,PETR4,0,0.0,0.0
2008-01-17,89297.1836627519,26.185585359315155,0.999706759112827,1,PETR4,0,0.0,0.0
2008-01-18,90494.18943057416,26.185585359315155,0.9997106379368212,1,PETR4,0,0.0,0.0
2008-01-21,83778.38712344525,26.185585359315155,0.9996874422358987,1,PETR4,0,0.0,0.0
2008-01-22,91955.78443179486,26.185585359315155,0.9997152372140468,1,PETR4,0,0.0,0.0
2008-01-23,90380.78443179486,26.185585359315155,0.9997102748607025,1,PETR4,0,0.0,0.0
2008-01-24,96718.58289370892,26.185585359315155,0.9997292600390135,1,PETR4,0,0.0,0.0
2008-01-28,101922.38904605267,26.185585359315155,0.9997430830889621,1,PETR4,0,0.0,0.0
2008-01-29,101834.18943057416,26.185585359315155,0.999742860570642,1,PETR4,0,0.0,0.0
2008-01-30,104139.98212466596,26.185585359315155,0.9997485539672173,1,PETR4,0,0.0,0.0
2008-01-31,101330.18750796674,26.185585359315155,0.9997415815957387,1,PETR4,0,0.0,0.0
2008-02-01,103653.56813675366,103653.56813675366,0.0,0,,1,0.9992481311597975,0.0
2008-02-06,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-07,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-08,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-11,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-12,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-13,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-14,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-15,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-18,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-19,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-20,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-21,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-22,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-25,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-26,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-27,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-28,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
2008-02-29,103653.56813675366,103653.56813675366,0.0,0,,0,0.0,0.0
