date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2022-04-07,8447.08739906389,18817.88972411978,1,1,,,0.0,0.0
2022-04-08,8200.306226098712,18268.126157169794,1,1,,,0.0,0.0
2022-04-11,7846.4848478064805,17479.90515693756,1,1,,,0.0,0.0
2022-04-12,7846.4848478064805,17479.90515693756,1,1,,,0.0,0.0
2022-04-13,7879.190936119181,17552.7657222543,1,1,,,0.0,0.0
2022-04-14,7745.39289862771,17254.698874372843,1,1,,,0.0,0.0
2022-04-18,7784.045467754815,17340.80663543003,1,1,,,0.0,0.0
2022-04-19,7923.790873727629,17652.12265654048,1,1,,,0.0,0.0
2022-04-20,7917.843505246286,17638.873483311487,1,1,,,0.0,0.0
2022-04-22,7611.594861136238,16956.632026491385,1,1,,,0.0,0.0
2022-04-25,7772.152506126004,17314.312243949134,1,1,,,0.0,0.0
2022-04-26,7647.27463368961,17036.11717842262,1,1,,,0.0,0.0
2022-04-27,7566.996698861665,16857.27904718229,1,1,,,0.0,0.0
2022-04-28,7611.594861136238,16956.632026491385,1,1,,,0.0,0.0
2022-04-29,7115.057499464804,15850.477339744102,1,1,,,0.0,0.0
2022-05-02,6880.169288128437,15327.208164275013,1,1,,,0.0,0.0
2022-05-03,6871.249123073359,15307.33638192007,1,1,,,0.0,0.0
2022-05-04,6918.821413422073,15413.31493658793,1,1,,,0.0,0.0
2022-05-05,6713.664718490797,14956.279762332546,1,1,,,0.0,0.0
2022-05-06,6532.295722151019,14552.237326016038,1,1,,,0.0,0.0
2022-05-09,6478.77650715443,14433.010586863456,1,1,,,0.0,0.0
2022-05-10,6466.8835455256185,14406.516195382557,1,1,,,0.0,0.0
2022-05-11,6481.749303728164,14439.633195989409,1,1,,,0.0,0.0
2022-05-12,6523.375557095941,14532.365543661093,1,1,,,0.0,0.0
2022-05-13,6880.169288128437,15327.208164275013,1,1,,,0.0,0.0
2022-05-16,6865.302642258954,15294.089186179619,1,1,,,0.0,0.0
2022-05-17,6880.169288128437,15327.208164275013,1,1,,,0.0,0.0
2022-05-18,6805.835614947554,15161.612285053776,1,1,,,0.0,0.0
2022-05-19,6912.8744887742,15400.066752103212,1,1,,,0.0,0.0
2022-05-20,6886.114881275905,15340.45338252692,1,1,,,0.0,0.0
2022-05-23,6960.447222956382,15506.046295515345,1,1,,,0.0,0.0
2022-05-24,6850.435996389471,15260.970208084227,1,1,,,0.0,0.0
2022-05-25,6835.569350519988,15227.851229988833,1,1,,,0.0,0.0
2022-05-26,6933.687171624619,15446.431937194784,1,1,,,0.0,0.0
2022-05-27,6990.180070861879,15572.28326296186,1,1,,,0.0,0.0
2022-05-30,6808.809743021694,15168.237860412542,1,1,,,0.0,0.0
2022-05-31,6689.878795233175,14903.29097937075,1,1,,,0.0,0.0
2022-06-01,6594.733326868809,14691.331892546483,1,1,,,0.0,0.0
2022-06-02,6758.264212265777,15055.635707874455,1,1,,,0.0,0.0
2022-06-03,6707.71742824702,15161.612285053776,0,1,SELL,,14.413013626362657,0.0
2022-06-06,6707.71742824702,14307.161238584918,0,1,,,0.0,0.0
2022-06-07,6707.71742824702,14062.082184920988,0,1,,,0.0,0.0
2022-06-08,6707.71742824702,14161.437141718627,0,1,,,0.0,0.0
2022-06-09,6707.71742824702,13797.135303879195,0,1,,,0.0,0.0
2022-06-10,6707.71742824702,13565.305423444255,0,1,,,0.0,0.0
2022-06-13,6707.71742824702,12777.0883781891,0,1,,,0.0,0.0
2022-06-14,6707.71742824702,12598.248269460228,0,1,,,0.0,0.0
2022-06-15,6707.71742824702,12618.11807432663,0,1,,,0.0,0.0
2022-06-17,6707.71742824702,12664.485236906743,0,1,,,0.0,0.0
2022-06-20,6707.71742824702,12260.441811845965,0,1,,,0.0,0.0
2022-06-21,6707.71742824702,12465.772357078655,0,1,,,0.0,0.0
2022-06-22,6707.71742824702,12472.39793243742,0,1,,,0.0,0.0
2022-06-23,6707.71742824702,12830.077161150897,0,1,,,0.0,0.0
2022-06-24,6707.71742824702,12631.36625881135,0,1,,,0.0,0.0
2022-06-27,6707.71742824702,12657.862627780789,0,1,,,0.0,0.0
2022-06-28,6707.71742824702,12187.580257784954,0,1,,,0.0,0.0
2022-06-29,6707.71742824702,12127.966888208663,0,1,,,0.0,0.0
2022-06-30,6707.71742824702,12101.472496727765,0,1,,,0.0,0.0
2022-07-01,6707.71742824702,12637.990845425846,0,1,,,0.0,0.0
2022-07-04,6707.71742824702,12538.634899883937,0,1,,,0.0,0.0
2022-07-05,6707.71742824702,12591.625660334274,0,1,,,0.0,0.0
2022-07-06,6707.71742824702,12836.699770276851,0,1,,,0.0,0.0
2022-07-07,6707.71742824702,13095.026019681232,0,1,,,0.0,0.0
2022-07-08,6707.71742824702,12618.11807432663,0,1,,,0.0,0.0
2022-07-11,6707.71742824702,12399.53736712068,0,1,,,0.0,0.0
2022-07-12,6707.71742824702,12465.772357078655,0,1,,,0.0,0.0
2022-07-13,6707.71742824702,12253.816236487199,0,1,,,0.0,0.0
2022-07-14,6707.71742824702,12359.794791155062,0,1,,,0.0,0.0
2022-07-15,6707.71742824702,12730.722204353258,0,1,,,0.0,0.0
2022-07-18,6707.71742824702,12459.15073669697,0,1,,,0.0,0.0
2022-07-19,6707.71742824702,12518.764106273262,0,1,,,0.0,0.0
2022-07-20,6707.71742824702,12743.968411349437,0,1,,,0.0,0.0
2022-07-21,6707.71742824702,12803.58276967,0,1,,,0.0,0.0
2022-07-22,6707.71742824702,12538.634899883937,0,1,,,0.0,0.0
2022-07-25,6707.71742824702,12280.312605456638,0,1,,,0.0,0.0
2022-07-26,6707.71742824702,12048.484702510239,0,1,,,0.0,0.0
2022-07-27,6707.71742824702,13333.475543009314,0,1,,,0.0,0.0
2022-07-28,6707.71742824702,13624.918793020546,0,1,,,0.0,0.0
2022-07-29,6707.71742824702,13856.747684711216,0,1,,,0.0,0.0
2022-08-01,6707.71742824702,14538.989141531318,0,1,,,0.0,0.0
2022-08-02,6707.71742824702,14260.797042237618,0,1,,,0.0,0.0
2022-08-03,6707.71742824702,14631.721489203002,0,1,,,0.0,0.0
2022-08-04,6707.71742824702,15598.776665698488,0,1,,,0.0,0.0
2022-08-05,6707.71742824702,15757.74795830523,0,1,,,0.0,0.0
2022-08-08,6707.71742824702,15499.420720156579,0,1,,,0.0,0.0
2022-08-09,6707.71742824702,15148.366078057597,0,1,,,0.0,0.0
2022-08-10,6707.71742824702,15698.134588728939,0,1,,,0.0,0.0
2022-08-11,6707.71742824702,15645.145805767143,0,1,,,0.0,0.0
2022-08-12,6707.71742824702,15625.272045923657,0,1,,,0.0,0.0
2022-08-15,6707.71742824702,16625.448178003076,0,1,,,0.0,0.0
2022-08-16,6707.71742824702,16757.920135407567,0,1,,,0.0,0.0
2022-08-17,6707.71742824702,16698.308743319816,0,1,,,0.0,0.0
2022-08-18,6707.71742824702,16512.84602546499,0,1,,,0.0,0.0
2022-08-19,6707.71742824702,16135.29600314084,0,1,,,0.0,0.0
2022-08-22,6707.71742824702,16049.18725333938,0,1,,,0.0,0.0
2022-08-23,6707.71742824702,16035.938080110389,0,1,,,0.0,0.0
2022-08-24,6707.71742824702,16088.931806793538,0,1,,,0.0,0.0
2022-08-25,6707.71742824702,16161.788417133195,0,1,,,0.0,0.0
