date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2020-08-31,20037.590493688724,20037.590493688724,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-07,19289.991206655643,19289.991206655643,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-14,20174.65125418677,20174.65125418677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-21,18000.381396780154,18000.381396780154,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-09-28,18685.680446157596,18685.680446157596,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-10-05,19993.980683813235,19993.980683813235,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-10-12,19782.16058875098,19782.16058875098,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-10-19,20984.55077887549,20984.55077887549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-10-26,19757.241206655643,19757.241206655643,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-11-02,23246.041444311282,23246.041444311282,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-11-09,23133.90125418677,23133.90125418677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-11-16,22866.01106406226,22866.01106406226,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-11-23,22093.490018377444,22093.490018377444,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-11-30,20797.65125418677,20797.65125418677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-12-07,20648.130208501956,20648.130208501956,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-12-14,21495.41058875098,21495.41058875098,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-12-21,20791.41992331519,20791.41992331519,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2020-12-28,21539.020398626468,21539.020398626468,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-01-04,21900.361539373538,21900.361539373538,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-01-11,21314.740018377444,21314.740018377444,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-01-18,21084.230683813235,21084.230683813235,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-01-25,21096.690969000003,21096.690969000003,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-02-01,21152.76106406226,21152.76106406226,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-02-08,19881.840493688724,19881.840493688724,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-02-15,20729.120873937747,20729.120873937747,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-02-22,20037.590493688724,20037.590493688724,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-03-01,20131.041444311282,20131.041444311282,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-03-08,19336.98222765564,19336.98222765564,1,1,,,0.0,0.0,202.74102100000002,202.74102100000002,1.0,1.0
2021-03-15,19953.752085062257,19953.752085062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-03-22,19673.401609750978,19673.401609750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-03-29,19243.53246531128,19243.53246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-04-05,18801.201847406617,18801.201847406617,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-04-12,18869.73222765564,18869.73222765564,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-04-19,18645.451847406617,18645.451847406617,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-04-26,18813.662132593385,18813.662132593385,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-05-03,18857.271942468873,18857.271942468873,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-05-10,18894.651609750978,18894.651609750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-05-17,18377.561657282105,18377.561657282105,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-05-24,19243.53246531128,19243.53246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-05-31,20489.53246531128,20489.53246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-06-07,20171.802322717896,20171.802322717896,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-06-14,20863.33151468872,20863.33151468872,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-06-21,20744.962370249024,20744.962370249024,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-06-28,20059.662132593385,20059.662132593385,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-07-05,19953.752085062257,19953.752085062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-07-12,19935.061657282105,19935.061657282105,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-07-19,19206.151609750978,19206.151609750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-07-26,18315.261419626466,18315.261419626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-08-02,17997.53246531128,17997.53246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-08-09,17063.03246531128,17063.03246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-08-16,16957.122417780152,16957.122417780152,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-08-23,17505.361894937745,17505.361894937745,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-08-30,17206.322180124513,17206.322180124513,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-06,17312.23222765564,17312.23222765564,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-13,17742.102560373536,17742.102560373536,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-20,17312.23222765564,17312.23222765564,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-27,16882.361894937745,16882.361894937745,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-04,16950.89227518677,16950.89227518677,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-11,17274.852560373536,17274.852560373536,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-18,14645.79179987549,14645.79179987549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-25,15025.822180124513,15025.822180124513,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-01,15922.942512842408,15922.942512842408,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-08,16035.081514688722,16035.081514688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-15,15194.03246531128,15194.03246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-22,15137.962370249024,15137.962370249024,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-11-29,14882.53246531128,14882.53246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-12-06,16215.752085062257,16215.752085062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-12-13,15879.331514688722,15879.331514688722,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-12-20,14826.462370249024,14826.462370249024,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-12-27,15960.322180124513,15960.322180124513,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-03,15038.28246531128,15038.28246531128,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-10,15979.011419626466,15979.011419626466,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-17,17966.38175234436,17966.38175234436,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-24,17879.162132593385,17879.162132593385,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-01-31,17773.252085062257,17773.252085062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-07,17935.23222765564,17935.23222765564,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-14,17933.135309813235,17933.135309813235,1,1,,,0.0,0.0,539.9136050000001,539.9136050000001,1.0,1.0
2022-02-21,18412.845595000003,18412.845595000003,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-02-28,17416.045357344363,17416.045357344363,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-03-07,17316.36545240662,17316.36545240662,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-03-14,17665.245119688723,17665.245119688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-03-21,18531.215927717898,18531.215927717898,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-03-28,19147.985785124514,19147.985785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-04-04,18151.185547468875,18151.185547468875,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-04-11,17197.995119688723,17197.995119688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-04-18,16917.645832655642,16917.645832655642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-04-25,15877.235785124514,15877.235785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-05-02,14656.155167219851,14656.155167219851,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-05-09,15385.065214750979,15385.065214750979,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-05-16,15397.525499937747,15397.525499937747,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-05-23,15615.575737593386,15615.575737593386,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-05-30,15229.315214750979,15229.315214750979,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-06-06,13727.885309813235,13727.885309813235,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-06-13,12880.60611784241,12880.60611784241,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-06-20,12849.45540487549,12849.45540487549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-06-27,12855.685547468875,12855.685547468875,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-07-04,12836.995119688723,12836.995119688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-07-11,12942.905167219851,12942.905167219851,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-07-18,12762.235785124514,12762.235785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-07-25,14002.00564253113,14002.00564253113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-08-01,15790.016165373538,15790.016165373538,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-08-08,15665.415690062258,15665.415690062258,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-08-15,16145.125975249026,16145.125975249026,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-08-22,15877.235785124514,15877.235785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-08-29,17534.41569006226,17534.41569006226,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-09-05,16967.485785124514,16967.485785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-09-12,17789.845595000003,17789.845595000003,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-09-19,16898.95540487549,16898.95540487549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-09-26,16388.095595000003,16388.095595000003,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-10-03,17123.235785124514,17123.235785124514,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-10-10,16001.835072157595,16001.835072157595,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-10-17,15522.125975249026,15522.125975249026,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-10-24,14955.196070311282,14955.196070311282,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-10-31,15223.085072157595,15223.085072157595,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-11-07,13005.20540487549,13005.20540487549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-11-14,12033.325737593386,12033.325737593386,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-11-21,12226.45540487549,12226.45540487549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-11-28,12157.925024626467,12157.925024626467,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-12-05,11721.825737593386,11721.825737593386,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-12-12,10008.575737593386,10008.575737593386,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-12-19,11422.786022780154,11422.786022780154,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2022-12-26,11011.60611784241,11011.60611784241,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-02,10488.285428641055,10488.285428641055,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-09,10407.295357344363,10407.295357344363,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-16,10787.325737593386,10787.325737593386,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-23,11435.245119688723,11435.245119688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-01-30,11584.766165373538,11584.766165373538,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-02-06,12058.245119688723,12058.245119688723,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-02-13,11502.384916406618,11502.384916406618,1,1,,,0.0,0.0,571.769464,571.769464,1.0,1.0
2023-02-20,11016.445082765566,11016.445082765566,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-02-27,10138.015177827821,10138.015177827821,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-03-06,10916.765177827821,10916.765177827821,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-03-13,11197.115059000002,11197.115059000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-03-20,11240.72486887549,11240.72486887549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-03-27,11390.245320421205,11390.245320421205,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-04-03,11415.165296655641,11415.165296655641,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-04-10,12131.615059000002,12131.615059000002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-04-17,11421.394845109926,11421.394845109926,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-04-24,11751.584678750978,11751.584678750978,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-05-01,13277.935154062257,13277.935154062257,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-05-08,13483.52510653113,13483.52510653113,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2023-05-15,14224.895439249025,14224.895439249025,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
