date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2021-09-01,355762.8309862451,355762.8309862451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-02,354879.33794425294,354879.33794425294,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-03,355078.83707450196,355078.83707450196,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-06,350661.3283769922,350661.3283769922,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-08,344904.33794425294,344904.33794425294,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-09,343935.32663749025,343935.32663749025,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-10,344248.8283769922,344248.8283769922,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-13,344106.34142325685,344106.34142325685,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-14,342196.8248979883,342196.8248979883,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-15,335499.3292467432,335499.3292467432,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-16,324640.836204751,324640.836204751,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-17,319567.8396837549,319567.8396837549,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-20,309877.835335,309877.835335,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-21,313782.3431627588,313782.3431627588,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-22,322303.83707450196,322303.83707450196,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-23,322295.9769220117,322295.9769220117,1,1,,,0.0,0.0,23362.131149999997,23362.131149999997,1.0,1.0
2021-09-24,318818.9734430078,318818.9734430078,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-27,321982.47518250975,321982.47518250975,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-28,310724.9621362451,310724.9621362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-29,313432.47518250975,313432.47518250975,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-09-30,314686.46039674315,314686.46039674315,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-01,314572.4577874902,314572.4577874902,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-04,312548.96039674315,312548.96039674315,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-05,311009.9577874902,311009.9577874902,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-06,317023.45952699217,317023.45952699217,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-07,323578.46822450194,323578.46822450194,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2021-10-08,324974.9621362451,324974.9621362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
