ticker,strategy,fast,slow,lookback,exit_lookback,rsi_period,lower,upper,trend_window,sma_window,stop_pct,start,end,candles,trades,exposure,final_equity,total_return,cagr,max_drawdown,annual_volatility,sharpe,benchmark_final_equity,benchmark_total_return,benchmark_cagr,benchmark_max_drawdown,excess_total_return
BBSE3,trend_pullback,,,,,5,40.0,60.0,50,,,2013-04-29,2026-07-17,3289,170,0.11918516266342354,19096.63018622825,0.909663018622825,0.05016966037140791,-0.19460166492439335,0.08778166815092366,0.6011846634218532,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.728370858356474
BBSE3,trend_pullback,,,,,2,40.0,70.0,200,,,2013-04-29,2026-07-17,3289,460,0.3089084828215263,18933.34016905751,0.8933340169057509,0.04948748252609114,-0.22958758449502725,0.13359342539198818,0.4281504330830053,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.744699860073548
BBSE3,trend_pullback,,,,,5,50.0,70.0,100,,,2013-04-29,2026-07-17,3289,240,0.3374885983581636,18589.22932036899,0.8589229320368992,0.04803190008310776,-0.2824194941306202,0.1453140591068382,0.3953291402695696,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.7791109449424
BBSE3,trend_pullback,,,,,2,50.0,70.0,50,,,2013-04-29,2026-07-17,3289,526,0.26117360899969594,18538.53842232447,0.8538538422324469,0.04781537711414563,-0.29183992343314324,0.12958374857475569,0.42518203991955617,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.784180034746852
BBSE3,trend_pullback,,,,,2,30.0,70.0,200,,,2013-04-29,2026-07-17,3289,380,0.26330191547582854,18475.33182547848,0.8475331825478478,0.04754462621670097,-0.19469098910405502,0.12462045001420972,0.43478250696062204,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.790500694431451
BBSE3,trend_pullback,,,,,2,30.0,60.0,100,,,2013-04-29,2026-07-17,3289,420,0.20127698388567955,18362.63873332785,0.8362638733327852,0.04705976451492777,-0.15480523720691042,0.11355180674762617,0.4614257871758422,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.801770003646514
BBSE3,trend_pullback,,,,,2,40.0,80.0,50,,,2013-04-29,2026-07-17,3289,342,0.2645180906050471,18335.519029671002,0.8335519029671004,0.04694267153375731,-0.2579034378609748,0.12946865157868723,0.418966208215489,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.804481974012199
BBSE3,trend_pullback,,,,,5,40.0,60.0,200,,,2013-04-29,2026-07-17,3289,196,0.23168136211614473,17894.88606525054,0.7894886065250539,0.045017402599839995,-0.23913025355845596,0.1172980340422166,0.43375826529923456,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.848545270454245
BBSE3,trend_pullback,,,,,5,30.0,80.0,50,,,2013-04-29,2026-07-17,3289,62,0.10063849194283978,17647.464385778625,0.7647464385778624,0.04391703874209929,-0.2066731643377837,0.07186987584067292,0.6339152099044092,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.873287438401436
BBSE3,trend_pullback,,,,,5,30.0,80.0,100,,,2013-04-29,2026-07-17,3289,82,0.1915475828519307,17432.942542311866,0.7432942542311867,0.04295138756414851,-0.29134689970946026,0.10008406996795699,0.4701744273587981,66380.33876979299,5.638033876979299,0.15399035294626073,-0.440436497205311,-4.894739622748112
