date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2010-10-13,69719.42284973193,165968.85301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-14,69979.62384231616,166538.855185,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-15,69459.2218571477,165398.8508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-18,70955.37384231616,168676.355185,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-19,69264.07483490038,164971.35735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-20,71319.65225418139,169474.3517059961,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-21,70174.77582748461,166966.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-22,70239.82483490038,167108.85735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-25,70825.27582748461,168391.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-26,71866.07483490038,170671.35735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-27,71150.52582748461,169103.85953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-28,69784.4718571477,166111.3508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-10-29,69784.4718571477,166111.3508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-01,71345.67284973193,169531.35301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-03,70565.07483490038,167821.35735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-04,72373.464040833,171782.85561987548,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-05,72516.57483490038,172096.35735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-08,73036.9718571477,173236.3508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-09,72776.77582748461,172666.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-10,72646.67284973193,172381.35301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-11,72958.91503341723,173065.35779425292,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-12,71605.87384231616,170101.355185,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-16,70161.76304824877,166937.85344549804,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-17,70057.68562896777,166709.8590988794,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-18,71918.11602600146,170785.35996863036,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-19,72191.32483490038,171383.85735937743,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-22,71996.17284973193,170956.35301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-23,70174.77582748461,166966.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-24,71957.1444378667,170870.85648962646,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-25,71501.79146011401,169873.34996649413,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-26,70421.964040833,167507.85561987548,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-29,70578.08265121508,167849.85257574706,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-11-30,69732.43562896777,165997.3590988794,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-01,71996.17284973193,170956.35301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-02,72776.77582748461,172666.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-03,73687.4718571477,174661.3508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-06,74012.7218571477,175373.8508362451,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-07,73843.59543045092,175003.3586640039,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-08,72204.33265121508,171412.35257574706,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-09,72997.94344528246,173150.85431524902,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-10,73908.6444378667,175145.85648962646,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-13,75756.06205566454,179192.8512711206,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-14,75092.55423934985,177739.35605475097,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-15,73947.67284973193,175231.35301062255,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-16,73882.62384231616,175088.855185,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-17,74077.77582748461,175516.35953375488,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-20,73557.37384231616,174376.355185,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2010-12-21,74455.06205566454,176342.8512711206,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
