date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price
2000-08-21,10000.0,11286.953947010164,0,1,,,0.0,0.0
2000-08-22,10000.0,11215.664719936007,0,1,,,0.0,0.0
2000-08-23,10000.0,11310.70901409502,0,1,,,0.0,0.0
2000-08-24,10000.0,11401.006360744992,0,1,,,0.0,0.0
2000-08-25,10000.0,11403.37937246452,0,1,,,0.0,0.0
2000-08-28,10000.0,11381.999165239162,0,1,,,0.0,0.0
2000-08-29,10000.0,11310.70901409502,0,1,,,0.0,0.0
2000-08-30,10000.0,11120.619501707011,0,1,,,0.0,0.0
2000-08-31,10000.0,10978.045667908618,0,1,,,0.0,0.0
2000-09-01,10000.0,10830.720266251265,0,1,,,0.0,0.0
2000-09-04,10000.0,11001.806279413378,0,1,,,0.0,0.0
2000-09-05,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-09-06,10000.0,11595.858529831774,0,1,,,0.0,0.0
2000-09-07,10000.0,11595.858529831774,0,1,,,0.0,0.0
2000-09-08,10000.0,11168.138876576564,0,1,,,0.0,0.0
2000-09-11,10000.0,11215.664719936007,0,1,,,0.0,0.0
2000-09-12,10000.0,11120.619501707011,0,1,,,0.0,0.0
2000-09-13,10000.0,11049.333046842807,0,1,,,0.0,0.0
2000-09-14,10000.0,10859.234293754955,0,1,,,0.0,0.0
2000-09-15,10000.0,10692.901696591769,0,1,,,0.0,0.0
2000-09-18,10000.0,10407.755877134952,0,1,,,0.0,0.0
2000-09-19,10000.0,10217.659896257053,0,1,,,0.0,0.0
2000-09-20,10000.0,9980.039920159681,0,1,,,0.0,0.0
2000-09-21,10000.0,9861.228546006017,0,1,,,0.0,0.0
2000-09-22,10000.0,9861.228546006017,0,1,,,0.0,0.0
2000-09-25,10000.0,10122.613753958072,0,1,,,0.0,0.0
2000-09-26,10000.0,10098.849446173375,0,1,,,0.0,0.0
2000-09-27,10000.0,9932.51684901019,0,1,,,0.0,0.0
2000-09-28,10000.0,9980.039920159681,0,1,,,0.0,0.0
2000-09-29,10000.0,9991.918839807084,0,1,,,0.0,0.0
