date,strategy_equity,benchmark_equity,strategy_position,benchmark_position,strategy_trade,benchmark_trade,strategy_trade_price,benchmark_trade_price,strategy_dividend_cash,benchmark_dividend_cash,strategy_split_ratio,benchmark_split_ratio
2007-10-29,147074.1894214603,147074.1894214603,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-30,147074.1894214603,147074.1894214603,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-31,146381.69998817172,146381.69998817172,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-01,146084.9074810001,146084.9074810001,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-05,142160.73200874057,142160.73200874057,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-06,142160.73200874057,142160.73200874057,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-07,141468.242575452,141468.242575452,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-08,141138.4660785648,141138.4660785648,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-09,140413.00850562777,140413.00850562777,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-12,133520.9713619205,133520.9713619205,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-13,135367.64683418002,135367.64683418002,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-14,140808.72128181186,140808.72128181186,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-16,143413.83831672397,143413.83831672397,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-19,135202.75858573642,135202.75858573642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-21,131245.61497382846,131245.61497382846,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-22,128607.52187423434,128607.52187423434,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-23,128343.71335677829,128343.71335677829,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-26,125771.57238654819,125771.57238654819,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-27,124023.84095840182,124023.84095840182,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-28,129563.82775001254,129563.82775001254,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-29,131245.61497382846,131245.61497382846,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-30,134543.23729209628,134543.23729209628,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-03,135202.75858573642,135202.75858573642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-04,135202.75858573642,135202.75858573642,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-05,136851.56181983676,136851.56181983676,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-06,140149.19998817172,140149.19998817172,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-07,138533.34904365268,138533.34904365268,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-10,140116.21599845614,140116.21599845614,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-11,135532.5192325565,135532.5192325565,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-12,137412.16284446444,137412.16284446444,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-13,132399.78516273227,132399.78516273227,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-14,131278.59896354403,131278.59896354403,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-17,127288.47928695407,127288.47928695407,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-18,136851.56181983676,136851.56181983676,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-19,136192.04052619662,136192.04052619662,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-20,134708.12554053988,134708.12554053988,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-21,139819.4234912845,139819.4234912845,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-26,139984.31173972812,139984.31173972812,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-27,139786.45535163608,139786.45535163608,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2007-12-28,140149.19998817172,140149.19998817172,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2008-01-02,134708.12554053988,134708.12554053988,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2008-01-03,139786.45535163608,139786.45535163608,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2008-01-04,134213.4766452762,134213.4766452762,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
2008-01-07,131905.14419250216,131905.14419250216,1,1,,,0.0,0.0,0.0,0.0,1.0,1.0
