rank,ticker,strategy,label,params,test_total_return,test_benchmark_total_return,test_excess_total_return,test_max_drawdown,test_trades,test_exposure
16,BBSE3,rsi_reversion,rsi_fast_loose_exit,rsi_period=7;lower=50.0;upper=90.0,1.0967245369397651,0.8821820176484423,0.21454251929132284,-0.18190086007857575,5,0.977710233029382
17,BBSE3,rsi_reversion_atr,rsi_atr_stop,rsi_period=14;lower=45.0;upper=80.0;atr_period=14;atr_mult=3.0,1.0711170648988673,0.8821820176484423,0.18893504725042498,-0.20673124774334029,12,0.9300911854103343
18,BBSE3,rsi_cross_reversion,rsi_cross_confirm,rsi_period=10;lower=35.0;upper=85.0,1.0612080909329715,0.8821820176484423,0.17902607328452924,-0.206684288523577,6,0.9290780141843972
19,BBSE3,rsi_reversion,base_14_40_80,rsi_period=14;lower=40.0;upper=80.0,1.0507792939816527,0.8821820176484423,0.16859727633321042,-0.20680848852253997,6,0.9321175278622087
21,BBSE3,rsi_cross_reversion,rsi_cross_high_entry,rsi_period=14;lower=55.0;upper=80.0,1.04238369305634,0.8821820176484423,0.16020167540789765,-0.2067235275640309,6,0.9057750759878419
22,BBSE3,rsi_reversion,base_14_50_80,rsi_period=14;lower=50.0;upper=80.0,1.0195861478175878,0.8821820176484423,0.13740413016914554,-0.20669694935889726,6,0.9463019250253293
23,BBSE3,rsi_reversion_trend_entry,rsi_trend_entry_slow,rsi_period=21;lower=50.0;upper=75.0;trend_window=200,0.9927628424502015,0.8821820176484423,0.11058082480175924,-0.20660770918382554,6,0.9381965552178319
24,BBSE3,rsi_reversion_hold,rsi_hold_40,rsi_period=7;lower=50.0;upper=85.0;max_hold=40,0.9897774913475224,0.8821820176484423,0.10759547369908007,-0.15001405491502262,45,0.8530901722391084
26,BBSE3,rsi_reversion,rsi_slow_mid,rsi_period=21;lower=45.0;upper=70.0,0.9543964449327511,0.8821820176484423,0.07221442728430882,-0.16012013765768984,8,0.8156028368794326
27,BBSE3,breakout,breakout_5_55,lookback=5;exit_lookback=55,0.9340727585424407,0.8821820176484423,0.051890740893998366,-0.21490792462855635,13,0.9037487335359676
28,LOGG3,rsi_reversion,rsi_slow_mid,rsi_period=21;lower=45.0;upper=70.0,0.9225439805760882,0.594424209953542,0.32811977062254627,-0.2625750801829464,5,0.9504424778761061
29,BBSE3,rsi_reversion_trend_entry,rsi_trend_entry_fast,rsi_period=21;lower=50.0;upper=80.0;trend_window=50,0.9201769251179375,0.8821820176484423,0.03799490746949519,-0.17846695014196734,1,0.9989868287740629
31,LOGG3,rsi_reversion_hold,rsi_hold_14_40,rsi_period=14;lower=50.0;upper=85.0;max_hold=40,0.8907928011772692,0.594424209953542,0.2963685912237273,-0.2532945665412133,27,0.9185840707964602
34,LOGG3,rsi_reversion_hold,rsi_hold_40,rsi_period=7;lower=50.0;upper=85.0;max_hold=40,0.8017950039354313,0.594424209953542,0.2073707939818894,-0.25922761131634875,27,0.8973451327433628
40,LOGG3,rsi_reversion,base_14_50_80,rsi_period=14;lower=50.0;upper=80.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
41,LOGG3,rsi_reversion,base_14_40_80,rsi_period=14;lower=40.0;upper=80.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
42,LOGG3,rsi_reversion,rsi_fast_loose_exit,rsi_period=7;lower=50.0;upper=90.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
43,LOGG3,rsi_reversion_atr,rsi_atr_stop,rsi_period=14;lower=45.0;upper=80.0;atr_period=14;atr_mult=3.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
44,LOGG3,rsi_reversion_trend_entry,rsi_trend_entry_slow,rsi_period=21;lower=50.0;upper=75.0;trend_window=200,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
45,LOGG3,rsi_reversion_trend_entry,rsi_trend_entry_fast,rsi_period=21;lower=50.0;upper=80.0;trend_window=50,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
46,LOGG3,rsi_cross_reversion,rsi_cross_confirm,rsi_period=10;lower=35.0;upper=85.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
47,LOGG3,rsi_cross_reversion,rsi_cross_high_entry,rsi_period=14;lower=55.0;upper=80.0,0.6404225355171778,0.594424209953542,0.04599832556363581,-0.2625750801829464,1,0.9982300884955753
50,LOGG3,rsi_reversion_atr,rsi_atr_slow,rsi_period=21;lower=45.0;upper=75.0;atr_period=14;atr_mult=2.0,0.6011536552395873,0.594424209953542,0.006729445286045355,-0.2977572157698555,3,0.9964601769911504
